source_load,target_load,selected_epoch,test_acc,test_macro_f1,test_loss,train_samples,test_samples,elapsed_seconds_for_source_training
0,0,9,1.0,1.0,0.02887680810169283,1568,664,5.051567077636719
0,1,9,1.0,1.0,0.046411448375499126,1568,699,5.051567077636719
0,2,9,1.0,1.0,0.1133605837396213,1568,700,5.051567077636719
0,3,9,0.7417974322396577,0.7021995657509676,1.6984378350858766,1568,701,5.051567077636719
1,0,5,0.9668674698795181,0.967146625731648,0.1849206421210105,1649,664,3.6521382331848145
1,1,5,1.0,1.0,0.05886822033977304,1649,699,3.6521382331848145
1,2,5,0.9942857142857143,0.9942810457516341,0.14448464010443007,1649,700,3.6521382331848145
1,3,5,0.7018544935805991,0.6432727418642912,1.9951892790946573,1649,701,3.6521382331848145
2,0,3,0.8900602409638554,0.8729011602429324,0.49001289473240633,1649,664,3.5821173191070557
2,1,3,0.8984263233190272,0.8667170478629208,0.4161661065827112,1649,699,3.5821173191070557
2,2,3,1.0,1.0,0.19702886845384326,1649,700,3.5821173191070557
2,3,3,0.7646219686162625,0.7314196124771133,0.6676588062935651,1649,701,3.5821173191070557
3,0,3,0.7635542168674698,0.7139532657411884,0.8974166665091572,1652,664,3.645427942276001
3,1,3,0.7925608011444921,0.720983614504557,0.9099410617556183,1652,699,3.645427942276001
3,2,3,0.7928571428571428,0.7166321019428179,0.5528787818976811,1652,700,3.645427942276001
3,3,3,1.0,1.0,0.20129026162216224,1652,701,3.645427942276001
