source_load,target_load,selected_epoch,test_acc,test_macro_f1,test_loss,train_samples,test_samples,elapsed_seconds_for_source_training
0,0,4,0.9984939759036144,0.9985713556814122,0.01642310877431588,1568,664,8.721686601638794
0,1,4,0.9971387696709585,0.9971427113628246,0.05068414019039687,1568,699,8.721686601638794
0,2,4,0.8471428571428572,0.8253572632892114,0.29777464571808065,1568,700,8.721686601638794
0,3,4,0.717546362339515,0.6749878987156006,2.0099516586080384,1568,701,8.721686601638794
1,0,5,0.9819277108433735,0.9823927041740571,0.05762027432940092,1649,664,7.989424228668213
1,1,5,1.0,1.0,0.009119756815912407,1649,699,7.989424228668213
1,2,5,1.0,1.0,0.02199759630619415,1649,700,7.989424228668213
1,3,5,0.7417974322396577,0.696497287227034,1.1999996642338993,1649,701,7.989424228668213
2,0,4,0.9352409638554217,0.9341784652767249,0.19301046129226326,1649,664,7.921582937240601
2,1,4,0.9027181688125894,0.8703022727951277,0.3828881540274426,1649,699,7.921582937240601
2,2,4,1.0,1.0,0.005948297490498849,1649,700,7.921582937240601
2,3,4,0.8616262482168331,0.8441588486685354,0.4902266871181454,1649,701,7.921582937240601
3,0,5,0.7680722891566265,0.7099755108134378,0.8870009845459318,1652,664,8.260894775390625
3,1,5,0.7997138769670958,0.7250774244285229,0.9361992226533847,1652,699,8.260894775390625
3,2,5,0.8714285714285714,0.8473633379973122,0.2664751047774085,1652,700,8.260894775390625
3,3,5,1.0,1.0,0.002388580771330505,1652,701,8.260894775390625
