seed,model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
42,CNN1D,0.1,9,482,0+1+2,0.9543194236172156,0.9479997630248076,0.36153283301606726,3,0.7689015691868759,0.7219303033072635,0.8128899325232704,3.9599809646606445,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.3,10,1456,0+1+2,1.0,1.0,0.051510407752574795,3,0.8630527817403709,0.8263979096677865,0.389159273180829,4.8554527759552,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.5,8,2429,0+1+2,1.0,1.0,0.035333852697512644,3,0.8815977175463623,0.8498180310621191,0.35360041610397047,7.134924411773682,True,0.8,1.2,10.0,30.0,64
42,CNN1D,1.0,5,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.02160343728387437,3,0.8987161198288159,0.8585158117203993,0.4197285644146753,13.11606502532959,True,0.8,1.2,10.0,30.0,64
42,SE-ResNet1D,0.1,7,482,0+1+2,0.9917926354918961,0.9918507261925761,0.04296749919823171,3,0.8074179743223966,0.7803631921870061,0.7124116069022114,6.413841009140015,True,0.8,1.2,10.0,30.0,64
42,SE-ResNet1D,0.3,8,1456,0+1+2,0.9942530842766119,0.9942771646370799,0.021603807468017187,3,0.9572039942938659,0.9563569698622345,0.1120639706665541,10.623430728912354,True,0.8,1.2,10.0,30.0,64
42,SE-ResNet1D,0.5,4,2429,0+1+2,0.9994979919678716,0.9995237852271375,0.008431523597198303,3,0.9072753209700428,0.891800806258329,0.26117613058159933,16.19468069076538,True,0.8,1.2,10.0,30.0,64
42,SE-ResNet1D,1.0,10,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.003233608583224565,3,0.9186875891583453,0.9039706927924996,0.27821752010262074,29.427783012390137,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.1,9,482,0+1+2,0.9413928963349822,0.9296444162335492,0.3360851095141379,3,0.8516405135520685,0.8262451053948079,0.5610387605454205,2.388829469680786,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.3,10,1456,0+1+2,0.9995231282784931,0.9995237852271375,0.04257083971036138,3,0.8930099857346647,0.8598291525096989,0.5259324618629824,4.721033334732056,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.5,7,2429,0+1+2,0.9980673768033507,0.9980879680323778,0.0372808096675865,3,0.8502139800285307,0.8169976828864615,0.5134708372219738,6.738346815109253,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,1.0,8,4866,0+1+2,1.0,1.0,0.02077091350683048,3,0.8059914407988588,0.7463228534657106,0.5032835370182098,13.13247537612915,True,0.8,1.2,10.0,30.0,64
2024,SE-ResNet1D,0.1,9,482,0+1+2,0.9902363387742673,0.9904559336759068,0.040661292151097796,3,0.8716119828815977,0.8450939845398946,0.43096906069490776,5.676193714141846,True,0.8,1.2,10.0,30.0,64
2024,SE-ResNet1D,0.3,8,1456,0+1+2,1.0,1.0,0.00567207861153515,3,0.8730385164051355,0.8508101971912714,0.298306585058368,10.591919183731079,True,0.8,1.2,10.0,30.0,64
2024,SE-ResNet1D,0.5,10,2429,0+1+2,0.998995983935743,0.9990474246444853,0.00392895336954344,3,0.884450784593438,0.8705924507589187,0.30502686384770045,16.22418189048767,True,0.8,1.2,10.0,30.0,64
2024,SE-ResNet1D,1.0,7,4866,0+1+2,0.9985191122142361,0.9985712098716227,0.007871371289359537,3,0.8345221112696148,0.8143576472141835,1.3712927913784811,29.119886875152588,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.1,10,482,0+1+2,0.9415932686396515,0.9328604204764873,0.30055656012896087,3,0.8730385164051355,0.8465306850012733,0.5273594234282212,2.250211715698242,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.3,8,1456,0+1+2,0.9922946435240245,0.9923264547938718,0.08467791115803203,3,0.8673323823109843,0.8334283000949668,0.4420952646649003,4.513676881790161,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.5,9,2429,0+1+2,0.9994979919678716,0.9995237852271375,0.021233548962943546,3,0.891583452211127,0.8612860885516707,0.3700458657703284,6.7763330936431885,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,1.0,8,4866,0+1+2,1.0,1.0,0.0077766685365521756,3,0.8445078459343794,0.8217328722728304,0.32132427946806547,13.423912525177002,True,0.8,1.2,10.0,30.0,64
3407,SE-ResNet1D,0.1,7,482,0+1+2,0.979067879939952,0.9790766781168415,0.07581857433905748,3,0.8687589158345221,0.8349791206091869,0.6390236915991284,5.680596828460693,True,0.8,1.2,10.0,30.0,64
3407,SE-ResNet1D,0.3,6,1456,0+1+2,0.9902866113955104,0.9903609588508776,0.027763628882686405,3,0.8202567760342369,0.785544307118814,0.4938052618011205,11.235628366470337,True,0.8,1.2,10.0,30.0,64
3407,SE-ResNet1D,0.5,7,2429,0+1+2,0.9966116253282085,0.9966669069363796,0.007458184331518278,3,0.9300998573466477,0.9276931407110436,0.17506429152337358,16.512238264083862,True,0.8,1.2,10.0,30.0,64
3407,SE-ResNet1D,1.0,8,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.002335278880096343,3,0.8830242510699001,0.8635819046629823,0.26542315586335885,30.824140310287476,True,0.8,1.2,10.0,30.0,64
