seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN1D,0.1,1,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.186331256296625,0.2717842323651452,0.2487882404117908,2.276915597914796,0.16442429846096016,0.09568094543974111
42,CNN1D,0.1,2,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.8871975612838239,0.6203319502074689,0.5730181264503749,2.1613309606295465,0.29148338705322,0.18796385334204588
42,CNN1D,0.1,3,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.676404704196819,0.6701244813278008,0.6144881327560978,1.8973591964173184,0.4689869307600318,0.4159493516442487
42,CNN1D,0.1,4,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.491430220762229,0.7157676348547718,0.6577936900854979,1.5681969785341003,0.6539914778673246,0.5808745125129757
42,CNN1D,0.1,5,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3247671809928545,0.7261410788381742,0.6773347257555531,1.3165437641965043,0.6679355394190701,0.5921491399047678
42,CNN1D,0.1,6,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.1815737644171813,0.7697095435684648,0.7260619359996723,1.1226044509481554,0.6839202631084321,0.6103001225475843
42,CNN1D,0.1,7,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.069763021845046,0.8049792531120332,0.7695282751946839,0.9625493332814908,0.773131963784014,0.7167637271088209
42,CNN1D,0.1,8,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9657888241823284,0.8236514522821576,0.7969369281243754,0.8635485867561016,0.764701778706898,0.7101726418301689
42,CNN1D,0.1,9,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8681590853885002,0.8734439834024896,0.8650217607813044,0.7605731769527808,0.8268506234215423,0.7909764517657152
42,CNN1D,0.1,10,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8034615318804855,0.8858921161825726,0.8809869387083447,0.6761823164969951,0.8428440965989443,0.8112562921657652
42,CNN1D,0.3,1,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9233336710667872,0.5439560439560439,0.5431795206286238,1.928161932245329,0.42070803138981433,0.36371393632656224
42,CNN1D,0.3,2,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.363182931155949,0.7355769230769231,0.692101322798411,1.1631182942735563,0.6800556979604501,0.6029716035709639
42,CNN1D,0.3,3,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.0163891636408293,0.801510989010989,0.7725896290646111,0.812691762673444,0.7999515987514333,0.7433270581150127
42,CNN1D,0.3,4,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.7640543553855393,0.8866758241758241,0.8815239685568326,0.5622371393078002,0.8990565162756073,0.8831839561196339
42,CNN1D,0.3,5,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5919150474307301,0.9203296703296703,0.9204261545369748,0.418370321981724,0.9370514594654934,0.9251207555911494
42,CNN1D,0.3,6,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.46712617297748943,0.9512362637362637,0.9520148596389231,0.31978396015147226,0.9424974576417258,0.9300706828346162
