model,train_ratio,num_seeds,train_samples,target_acc_mean,target_acc_std,target_macro_f1_mean,target_macro_f1_std,source_val_acc_mean,source_val_acc_std,source_val_macro_f1_mean,source_val_macro_f1_std,selected_epoch_mean,selected_epoch_std
CNN1D,0.1,3,482,0.7603424191474915,0.022419730201363564,0.7198843359947205,0.02783144824206829,0.9012516140937805,0.05227750912308693,0.8809286952018738,0.06308601796627045,9.333333015441895,0.5773502588272095
CNN1D,0.3,3,1456,0.8625772595405579,0.013483080081641674,0.8337796330451965,0.01772063784301281,0.9771597385406494,0.016626253724098206,0.9760101437568665,0.01834971085190773,9.333333015441895,0.5773502588272095
CNN1D,0.5,3,2429,0.8773181438446045,0.013608263805508614,0.8481081128120422,0.010815019719302654,0.9971053004264832,0.0037389693316072226,0.9971259236335754,0.0037482876796275377,9.333333015441895,0.5773502588272095
CNN1D,1.0,3,4866,0.8659058213233948,0.055598195642232895,0.8231131434440613,0.07476703822612762,0.9995062947273254,1.4488097804132849e-05,0.9995238184928894,7.300048565639372e-08,7.333333492279053,2.0816659927368164
CNN-BiLSTM,0.1,3,482,0.8378507494926453,0.025531891733407974,0.8092141151428223,0.04291367530822754,0.9324609637260437,0.016420306637883186,0.926365077495575,0.024342866614460945,10.0,0.0
CNN-BiLSTM,0.3,3,1456,0.8582976460456848,0.13124366104602814,0.8359516263008118,0.15828852355480194,0.9840885996818542,0.00028273448697291315,0.9842316508293152,0.00025347265182062984,8.666666984558105,0.5773502588272095
CNN-BiLSTM,0.5,3,2429,0.9058487415313721,0.03739041090011597,0.8953773379325867,0.04562808573246002,0.9896674752235413,0.0018283544341102242,0.9897095561027527,0.0018553677946329117,9.0,1.0
CNN-BiLSTM,1.0,3,4866,0.9253447651863098,0.06005576252937317,0.916070282459259,0.06787210702896118,0.9911234974861145,0.0011839881772175431,0.9911510348320007,0.0011943206191062927,9.333333015441895,1.154700517654419
CNN-BiLSTM-Attention,0.1,3,482,0.7883975505828857,0.0998607650399208,0.767128050327301,0.11706691235303879,0.9063476920127869,0.06426067650318146,0.8977253437042236,0.07618535310029984,9.666666984558105,0.5773502588272095
CNN-BiLSTM-Attention,0.3,3,1456,0.9239182472229004,0.03753526136279106,0.9206683039665222,0.04078854247927666,0.9815273880958557,0.002893519587814808,0.981806755065918,0.002735174959525466,8.333333015441895,1.5275253057479858
CNN-BiLSTM-Attention,0.5,3,2429,0.9377080798149109,0.0790708065032959,0.9359040260314941,0.08211857080459595,0.9884212613105774,0.0030840099789202213,0.9885968565940857,0.0029022088274359703,9.0,1.0
CNN-BiLSTM-Attention,1.0,3,4866,0.9709938168525696,0.028147678822278976,0.9710001349449158,0.028043024241924286,0.9917423725128174,0.0019453195855021477,0.9918014407157898,0.0019798874855041504,9.333333015441895,1.154700517654419
