seed,model,train_ratio,selected_epoch,train_samples,source_loads,source_val_acc,source_val_macro_f1,source_val_loss,target_load,target_test_acc,target_test_macro_f1,target_test_loss,elapsed_seconds,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift
42,CNN1D,0.1,10,482,0+1+2,0.8428440965989443,0.8112562921657652,0.6761823164969951,3,0.7360912981455064,0.6887575596420202,1.0422790140211158,3.799380302429199,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.3,10,1456,0+1+2,0.9855681668016846,0.9853334925402045,0.13418503020261205,3,0.8473609129814551,0.8134016589768802,0.5037631965992965,5.006401300430298,True,0.8,1.2,10.0,30.0,64
42,CNN1D,0.5,9,2429,0+1+2,0.9994979919678716,0.9995237852271375,0.0535507916790647,3,0.8787446504992867,0.8476066225576989,0.41435322934992813,7.039717435836792,True,0.8,1.2,10.0,30.0,64
42,CNN1D,1.0,5,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.04920386616968988,3,0.8987161198288159,0.8655524877568841,0.39060608240192524,13.49363660812378,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.1,10,482,0+1+2,0.9535524973386291,0.9541732436833623,0.5571943281400227,3,0.6890156918687589,0.6422969621464789,0.8805876381046932,3.3941731452941895,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.3,8,1456,0+1+2,0.9824304370558056,0.982639992816853,0.09847466625771438,3,0.9044222539229672,0.8970298767939842,0.24643052876867172,5.735491037368774,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,0.5,9,2429,0+1+2,0.9878030700361226,0.9880055292256925,0.04416812215498401,3,0.8473609129814551,0.8420101929438981,0.30125827966364216,8.610877513885498,True,0.8,1.2,10.0,30.0,64
42,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,0.9936749860673021,0.9937964889774765,0.01702036080466468,3,0.9386590584878745,0.9387914776166528,0.15047742120161675,17.25459575653076,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.1,9,482,0+1+2,0.9436597852681933,0.9341813247643841,0.7450506557531155,3,0.7646219686162625,0.728524372747898,0.932891270148431,2.3577373027801514,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.3,9,1456,0+1+2,0.9879022527879759,0.9878263412522833,0.18045881287187593,3,0.8730385164051355,0.8455725515028062,0.5192061897989007,4.768431663513184,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,0.5,10,2429,0+1+2,0.9990211202463645,0.9990475704542748,0.049456187304357045,3,0.8901569186875892,0.8591652369260062,0.40769397479066155,7.100654602050781,True,0.8,1.2,10.0,30.0,64
2024,CNN1D,1.0,8,4866,0+1+2,0.9995231282784931,0.9995237852271375,0.029503368093223698,3,0.8017118402282454,0.7367836794169367,0.4382838234464809,13.044644355773926,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.1,9,482,0+1+2,0.9323255909392731,0.9279345387512596,0.698312087144579,3,0.8887303851640513,0.8744608945768846,0.7739835568994666,2.913957357406616,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.3,7,1456,0+1+2,0.9838617334656427,0.9840284626163859,0.10178315764753622,3,0.9671897289586305,0.9677667526818897,0.16496363793168956,5.651577711105347,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,0.5,8,2429,0+1+2,0.985693130174489,0.986035822191977,0.054375760713170795,3,0.9942938659058488,0.9943149583630355,0.0593868733168488,8.515056371688843,True,0.8,1.2,10.0,30.0,64
2024,CNN-BiLSTM-Attention,1.0,8,4866,0+1+2,0.989784603363382,0.9898370603307832,0.029833867381729894,3,0.9900142653352354,0.9899964145916955,0.05834929751280095,15.613830089569092,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.1,9,482,0+1+2,0.9172510438237725,0.8973483132431571,0.6818886912490116,3,0.7803138373751783,0.7423710128437826,0.8231366078625733,2.34993839263916,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.3,9,1456,0+1+2,0.9580087158361629,0.9548706731396935,0.18306120834896875,3,0.8673323823109843,0.8423649258542876,0.4712649386976653,4.673692226409912,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,0.5,9,2429,0+1+2,0.9927966515561532,0.9928065826254423,0.07116440541786814,3,0.8630527817403709,0.8375526389385366,0.4603875187702594,7.377050876617432,True,0.8,1.2,10.0,30.0,64
3407,CNN1D,1.0,9,4866,0+1+2,0.9994979919678716,0.9995237852271375,0.021361295225809856,3,0.8972895863052782,0.8670033417726162,0.35906855617988637,13.204185962677002,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.1,10,482,0+1+2,0.8331648441302507,0.8110682209206538,0.7573586210745877,3,0.7874465049928673,0.7846263852525567,0.8391932902509578,2.9593875408172607,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.3,10,1456,0+1+2,0.9782900537363023,0.9787519235214942,0.09482348095503838,3,0.9001426533523538,0.8972083311946623,0.2346393601748343,6.050641775131226,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,0.5,10,2429,0+1+2,0.9917674991812744,0.991749172275631,0.03394934394670243,3,0.9714693295292439,0.9713868404495895,0.0859882395007726,9.044755935668945,True,0.8,1.2,10.0,30.0,64
3407,CNN-BiLSTM-Attention,1.0,10,4866,0+1+2,0.9917674991812744,0.9917707043127427,0.02466063819641604,3,0.9843081312410842,0.9842123813224379,0.03967818888415783,16.582789182662964,True,0.8,1.2,10.0,30.0,64
