model,train_ratio,epoch,train_samples,target_load,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
CNN1D,0.1,1,482,3,2.052926549278354,0.3796680497925311,0.39198753309898116,2.2465439216896743,0.20684736091298145,0.1213840206793223
CNN1D,0.1,2,482,3,1.58135342548497,0.7033195020746889,0.6456772242988912,2.0324525345069024,0.2710413694721826,0.13768889725411465
CNN1D,0.1,3,482,3,1.2520714587690425,0.7593360995850622,0.7117290432897849,1.6969314477753197,0.32952924393723254,0.2315822398793675
CNN1D,0.1,4,482,3,1.0014756403523362,0.8278008298755186,0.8038952909789556,1.4300309489780079,0.4579172610556348,0.35789878305521783
CNN1D,0.1,5,482,3,0.7985039311325897,0.9024896265560166,0.9006319207654974,1.314970048279973,0.5549215406562055,0.45456616674447564
CNN1D,0.1,6,482,3,0.6408771030388433,0.9626556016597511,0.9635560287171643,1.049165772133309,0.6890156918687589,0.6477221770573536
CNN1D,0.1,7,482,3,0.5275569718903032,0.975103734439834,0.9757539478328079,0.8863272511967579,0.7646219686162625,0.7164049862794741
CNN1D,0.1,8,482,3,0.4141937165339458,0.9771784232365145,0.9776704998100707,0.7674175625435806,0.7689015691868759,0.7235488875155215
CNN1D,0.1,9,482,3,0.3354605285458545,0.9813278008298755,0.9818110659436206,0.7767306776257622,0.7731811697574893,0.7238922855357192
CNN1D,0.1,10,482,3,0.2546073038795677,0.991701244813278,0.9919117647058823,0.6534801683735405,0.8245363766048502,0.8068457752255946
CNN1D,0.3,1,1456,3,1.6306569641763038,0.695054945054945,0.6872606550536643,1.710849209365763,0.3908701854493581,0.2985552524949764
CNN1D,0.3,2,1456,3,0.8542382913631398,0.8784340659340659,0.8713385766133532,1.0701494115310457,0.6205420827389444,0.5610686239292639
CNN1D,0.3,3,1456,3,0.45483812820780406,0.9807692307692307,0.981087210111508,0.7952734603096177,0.760342368045649,0.7184453972500278
CNN1D,0.3,4,1456,3,0.247063221348511,0.9896978021978022,0.9899267615907104,0.6107746826939168,0.8174037089871612,0.7968322239289982
CNN1D,0.3,5,1456,3,0.14706527433552585,0.9938186813186813,0.9939162030420989,0.7001574287209633,0.7774607703281027,0.7430067448771828
CNN1D,0.3,6,1456,3,0.10032194574455638,0.9986263736263736,0.9986486332249044,0.5409957912462244,0.8273894436519258,0.7846245328183029
CNN1D,0.3,7,1456,3,0.07046486175322271,0.9986263736263736,0.9986486332249044,0.5238066673618921,0.8530670470756063,0.8295877664234365
