model,train_ratio,epoch,train_samples,source_loads,target_load,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
CNN1D,0.1,1,482,0+1+2,3,2.052926549278354,0.3796680497925311,0.39198753309898116,2.247629909782073,0.2037098321756267,0.10554836499338549
CNN1D,0.1,2,482,0+1+2,3,1.573171809501173,0.6929460580912863,0.6447735060384495,2.0447201615581245,0.2487335321256413,0.15465786271004942
CNN1D,0.1,3,482,0+1+2,3,1.248450722437182,0.7717842323651453,0.7412107271322046,1.6425675370011434,0.5515591448155179,0.46660356991840746
CNN1D,0.1,4,482,0+1+2,3,0.997163064994258,0.8257261410788381,0.8008233177779059,1.2246243687210694,0.6725751688544491,0.6017326022100611
CNN1D,0.1,5,482,0+1+2,3,0.8001700325625566,0.8941908713692946,0.8899236019804148,0.9445407406002877,0.6933048359388915,0.6236995904962216
CNN1D,0.1,6,482,0+1+2,3,0.6452490482092893,0.950207468879668,0.9506716914126612,0.6114239992101824,0.9191564869738508,0.901736444472231
CNN1D,0.1,7,482,0+1+2,3,0.5133310890296683,0.970954356846473,0.9715423080435255,0.5093940955495307,0.92801531488718,0.9096706173489147
CNN1D,0.1,8,482,0+1+2,3,0.41925599342559877,0.979253112033195,0.979770037098468,0.3625809110108298,0.9413174874031175,0.931406422896813
CNN1D,0.1,9,482,0+1+2,3,0.3313046425457317,0.9875518672199171,0.9877968775755906,0.2959098561724966,0.970232144601295,0.969387765195577
CNN1D,0.1,10,482,0+1+2,3,0.26084641079685006,0.991701244813278,0.9919117647058823,0.26679344465291693,0.9539926515791349,0.950246647994525
CNN1D,0.3,1,1456,0+1+2,3,1.6306569641763038,0.695054945054945,0.6872606550536643,1.6659870070432599,0.5525773603303465,0.48338286606237285
CNN1D,0.3,2,1456,0+1+2,3,0.8594749262044717,0.8660714285714286,0.8574959715318868,0.7777278137661489,0.7977084836382112,0.7451734496259715
CNN1D,0.3,3,1456,0+1+2,3,0.4596927087385576,0.9766483516483516,0.9770596559583373,0.3673580974588137,0.935444208881305,0.9210916610675065
CNN1D,0.3,4,1456,0+1+2,3,0.2584755423959795,0.9910714285714286,0.9912420794134645,0.17147876303322063,0.9912906274597676,0.9913860569027756
CNN1D,0.3,5,1456,0+1+2,3,0.14899231608097369,0.9965659340659341,0.9966304623544332,0.10384703056716059,0.9994979919678716,0.9995237852271375
CNN1D,0.3,6,1456,0+1+2,3,0.09790257577385221,0.9986263736263736,0.9986485869515592,0.07177233344736299,0.9990211202463645,0.9990475704542748
CNN1D,0.3,7,1456,0+1+2,3,0.06630902892940647,0.9986263736263736,0.9986486332249044,0.04905797152870616,0.9994979919678716,0.9995237852271375
CNN1D,0.3,8,1456,0+1+2,3,0.054699390266950317,0.9986263736263736,0.9986463272177557,0.04542834441617303,0.9994979919678716,0.9995237852271375
CNN1D,0.3,9,1456,0+1+2,3,0.04138901105130112,0.9986263736263736,0.9986485793939209,0.028523124747449446,0.9994979919678716,0.9995237852271375
CNN1D,0.3,10,1456,0+1+2,3,0.03663077839947009,0.9993131868131868,0.9993243166124521,0.02785648826169103,0.9994979919678716,0.9995237852271375
CNN1D,0.5,1,2429,0+1+2,3,1.3906141970568893,0.6661177439275422,0.6402075783882427,0.9876181350030366,0.681834741377117,0.6138386219863788
CNN1D,0.5,2,2429,0+1+2,3,0.5023946585405898,0.9629477151090984,0.9633702863307276,0.26914196246191674,0.9775611745982499,0.9775068241485575
CNN1D,0.5,3,2429,0+1+2,3,0.19897542546049662,0.9942363112391931,0.9943325780721761,0.11384938447660904,0.9990211202463645,0.9990475704542748
CNN1D,0.5,4,2429,0+1+2,3,0.09435502058773092,0.9979415397282833,0.9979723602588427,0.05683392752573396,0.9994979919678716,0.9995237852271375
CNN1D,0.5,5,2429,0+1+2,3,0.058215913570997105,0.9987649238369699,0.9987837543891587,0.0377445495828474,1.0,1.0
CNN1D,0.5,6,2429,0+1+2,3,0.03692370884123532,0.9987649238369699,0.9987837543891587,0.026052200884364784,0.9994979919678716,0.9995237852271375
CNN1D,0.5,7,2429,0+1+2,3,0.028449500683570852,0.9995883079456567,0.9995951400413876,0.01667748572010907,0.9994979919678716,0.9995237852271375
CNN1D,0.5,8,2429,0+1+2,3,0.02131416250331601,1.0,1.0,0.014409527497320431,0.9994979919678716,0.9995237852271375
CNN1D,0.5,9,2429,0+1+2,3,0.019731534901851488,0.9995883079456567,0.9995951400413876,0.011356252646714771,1.0,1.0
CNN1D,0.5,10,2429,0+1+2,3,0.014598812109274278,0.9995883079456567,0.9995951400413876,0.009981300920931541,0.9994979919678716,0.9995237852271375
CNN1D,1.0,1,4866,0+1+2,3,0.9439304336519629,0.8329223181257707,0.8283519048218858,0.2786120099583272,0.9638568580473539,0.9622132670952874
CNN1D,1.0,2,4866,0+1+2,3,0.1518739524124779,0.9936292642827784,0.9937344689597662,0.06611496638273932,0.9994979919678716,0.9995237852271375
