seed,model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
42,CNN1D,0.1,1,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.1874720686573093,0.24152542372881355,0.2160296308785198,2.2754452850870184,0.2056920467482027,0.09594333067816341
42,CNN1D,0.1,2,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.902435438107636,0.5127118644067796,0.45182445658950626,2.1635878380100237,0.28852161148169214,0.18155129125077063
42,CNN1D,0.1,3,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.695868744688519,0.6440677966101694,0.5596327091365321,1.9020300127409813,0.3656932245639004,0.2975966404528712
42,CNN1D,0.1,4,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.517404210769524,0.7033898305084746,0.6385649564652827,1.5662391484723448,0.6518815380056914,0.5750706417198522
42,CNN1D,0.1,5,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3568570896730585,0.7457627118644068,0.7076695478814969,1.3101514062448396,0.6741355530439764,0.5989767551324877
42,CNN1D,0.1,6,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.2076873557042267,0.7669491525423728,0.7179112402354518,1.1287478926917511,0.7088615980373568,0.6459324456852154
42,CNN1D,0.1,7,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.101633286072036,0.7754237288135594,0.7373918197202813,0.9916217263441828,0.7825423911053985,0.7211818380545955
42,CNN1D,0.1,8,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.0097119222253055,0.8199152542372882,0.795477734794416,0.8625246761373616,0.8113509463974845,0.7643764705255616
42,CNN1D,0.1,9,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9202006045034377,0.8622881355932204,0.851733488120521,0.7836061004485035,0.8233895647991516,0.78132358903864
42,CNN1D,0.1,10,472,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.8319591112056021,0.8665254237288136,0.8582870076539001,0.6950211790248799,0.8440770644400616,0.8093100432051378
42,CNN1D,0.3,1,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.9353556313729203,0.4934256055363322,0.45950026612442824,1.9313836419681554,0.3976939394610939,0.31570563719883377
42,CNN1D,0.3,2,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3697350087875313,0.7501730103806228,0.7065314561515302,1.1768087678264985,0.6755124893606719,0.5990355623141422
42,CNN1D,0.3,3,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.006391066828401,0.8283737024221454,0.8106501766916443,0.7917874943825436,0.8017510466964938,0.7493341359542898
42,CNN1D,0.3,4,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.7586181850169357,0.8996539792387543,0.8978219018826106,0.5561796887821476,0.9026228888576994,0.8883676417785106
42,CNN1D,0.3,5,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5887545932947971,0.9294117647058824,0.9296217194902099,0.40979273311027226,0.9380045216631907,0.9248562774855352
42,CNN1D,0.3,6,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.4685762617002309,0.9598615916955018,0.9604427338781241,0.3113911210710792,0.9592389586960145,0.9544863342414903
42,CNN1D,0.3,7,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.36249170649835394,0.9626297577854671,0.9633813725678262,0.264475850560071,0.9753779064756882,0.9738670667974376
42,CNN1D,0.3,8,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.30681923350454615,0.970242214532872,0.9708766369207515,0.18901309035362734,0.9864967739340768,0.9862998446486775
42,CNN1D,0.3,9,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.2543790702176342,0.9757785467128027,0.976281885039844,0.1575438391734115,0.9778879466363307,0.9765464959846732
42,CNN1D,0.3,10,1445,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.22592584358779616,0.9771626297577855,0.977611086249864,0.14559643727031304,0.9753038600344563,0.9748942987844967
42,CNN1D,0.5,1,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.7336247682177819,0.5905901774659513,0.545539895247096,1.3468238526508802,0.6775667066385305,0.6054311191883487
42,CNN1D,0.5,2,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.0218539083737064,0.8072637226578622,0.7825842956710811,0.7119962916122291,0.8583736786508388,0.8329830138404617
42,CNN1D,0.5,3,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.6521902888509,0.9215848122162609,0.92141500846238,0.4174989863367886,0.9503291769161256,0.9443586268492989
42,CNN1D,0.5,4,2423,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.43850195211071247,0.9624432521667354,0.963065257254961,0.27899288879695305,0.9479944096845178,0.9379013109688783
