target_load,source_loads,epoch,train_loss,train_acc,train_macro_f1,mean_source_val_acc,mean_source_val_macro_f1,target_test_loss,target_test_acc,target_test_macro_f1
0,1+2+3,1,0.32841028891729585,0.9317171717171717,0.933116247875218,0.9995231282784931,0.9995237852271375,0.04401544462440603,0.9969879518072289,0.997142784252841
0,1+2+3,2,0.02315650678343243,0.9963636363636363,0.9963570791427413,1.0,1.0,0.043825853270961036,0.9849397590361446,0.9854281169834062
0,1+2+3,3,0.014768560457918228,0.997979797979798,0.9979822388893389,1.0,1.0,0.17059997498676327,0.9126506024096386,0.8999753633899976
0,1+2+3,4,0.0050660655258054086,0.998989898989899,0.998989693488516,0.9995231282784931,0.9995237852271375,0.026878216915416073,0.9924698795180723,0.9928092986603625
0,1+2+3,5,0.021686829187051216,0.9945454545454545,0.9945387093837065,0.992375502418421,0.9923600938529198,0.07256392659044388,0.9728915662650602,0.9740049845118481
0,1+2+3,6,0.007341286051604483,0.9981818181818182,0.9981826272115726,1.0,1.0,0.013123610366910067,0.9969879518072289,0.9971422739334559
0,1+2+3,7,0.017248307942892567,0.9953535353535353,0.9953511366685127,0.9990462565569862,0.9990474246444853,0.02264473655966604,0.9924698795180723,0.9928524743230625
0,1+2+3,8,0.0021071784868083817,1.0,1.0,1.0,1.0,0.016101009496985598,0.9954819277108434,0.9956925484157209
0,1+2+3,9,0.001955792625820396,0.9995959595959596,0.9995959595959596,1.0,1.0,0.007057571253831868,0.9984939759036144,0.9985713556814122
0,1+2+3,10,0.0008163385703040268,1.0,1.0,1.0,1.0,0.01748307841512268,0.9924698795180723,0.9927701750296896
1,0+2+3,1,0.3312390897706882,0.9344834668309715,0.9367371758103781,0.9909638554216867,0.991468244194372,0.05529752338737468,0.9828326180257511,0.982759455686546
1,0+2+3,2,0.046115905306598294,0.989114807968782,0.9892190455329013,0.9632178315872006,0.9593226553341103,0.0638716783378212,0.9885550786838341,0.9883251500272777
1,0+2+3,3,0.048092804480367776,0.9862394742246868,0.9863294241580892,0.9994979919678716,0.9995237852271375,0.00840099515366396,1.0,1.0
1,0+2+3,4,0.016953155178018948,0.9958923803655781,0.9958859868688161,0.9995244888254874,0.9995237852271375,0.03889586573076276,0.9842632331902719,0.9840969816922316
1,0+2+3,5,0.03671402056026469,0.9907578558225508,0.990849318639871,0.9644098177916476,0.9626089124520281,0.2844148447053907,0.9184549356223176,0.9010372708879089
1,0+2+3,6,0.0427293746218982,0.9905524748408298,0.9906026001096923,1.0,1.0,0.009204061813729127,0.9985693848354793,0.9985713556814122
1,0+2+3,7,0.012194374078510968,0.997740809201068,0.9977777501693982,0.9945553643144004,0.9947268620665111,0.011870186744549762,0.9971387696709585,0.9971422739334559
1,0+2+3,8,0.01729856240705595,0.9963031423290203,0.9963630893909359,0.9994979919678716,0.9995237852271375,0.023280511519650812,0.9899856938483548,0.9899180332060112
1,0+2+3,9,0.0033473871804392784,0.9993838570548367,0.999393933011552,0.9994979919678716,0.9995237852271375,0.007097328754175403,0.9985693848354793,0.9985713556814122
1,0+2+3,10,0.0037495355577219385,0.9991784760731156,0.9991919041658601,1.0,1.0,0.023496844455656744,0.9885550786838341,0.9885339885339886
2,0+1+3,1,0.3438729863681938,0.9270897514890121,0.9299262578058552,0.9984939759036146,0.9985707722934,0.008720706248922008,1.0,1.0
2,0+1+3,2,0.041627229857576976,0.9893201889505032,0.989398753016486,0.9931573655535123,0.9933469151531028,0.021064406347327997,0.9985714285714286,0.9985713556814122
2,0+1+3,3,0.03080168154039381,0.9932224276032039,0.993343577382966,0.9994979919678716,0.9995237852271375,0.007145229957199522,1.0,1.0
2,0+1+3,4,0.02848019490229273,0.9944547134935305,0.9945484944796574,0.9945044085042022,0.9947662840133639,0.010266667130802359,1.0,1.0
2,0+1+3,5,0.038281590252973924,0.9919901417128774,0.9920464352409235,0.9979919678714859,0.9980773110362914,0.060722145310054265,0.9771428571428571,0.9768403639371381
2,0+1+3,6,0.019398885987382278,0.9969192852741836,0.9969290042411785,0.9994979919678716,0.9995237852271375,0.004878113471370723,1.0,1.0
2,0+1+3,7,0.012402884532083694,0.997740809201068,0.9976939572595,0.9960090720535936,0.9961504904067936,0.004766986688981498,1.0,1.0
2,0+1+3,8,0.028331102070762625,0.9924009036763196,0.9924975528962676,0.998995983935743,0.9990440949737898,0.0016447227840710964,1.0,1.0
2,0+1+3,9,0.005688504324137589,0.9983569521462312,0.9983838363238627,0.9984939759036146,0.9985641828052403,0.0011581592606879504,1.0,1.0
2,0+1+3,10,0.013254044044967132,0.9960977613472992,0.9961628087719545,0.9830092145667931,0.9831286471872523,0.032426922871465126,0.9928571428571429,0.9928480204342274
3,0+1+2,1,0.3292956786223316,0.9245787094122483,0.9267812240621757,0.9950050559893365,0.9951818158887237,1.2132287077743895,0.7574893009985735,0.7156309934790948
3,0+1+2,2,0.03106720436271012,0.9940402794903411,0.994115276787741,0.8708702006062262,0.8425490051253067,2.0324025826067658,0.7018544935805991,0.6065989924810447
3,0+1+2,3,0.023966969913763615,0.9952733251130291,0.9953212694846162,0.9960090720535936,0.9961851701271435,0.6650849571982036,0.8388017118402282,0.8188715056280811
3,0+1+2,4,0.027187655922186214,0.9930127414714345,0.9930711586963094,0.9852427572542366,0.9856156744429977,1.1313558742922123,0.7874465049928673,0.7404302719852744
3,0+1+2,5,0.031463723565404715,0.9934237566789971,0.9933426445985989,0.9994979919678716,0.9995237852271375,0.2869581399849495,0.9029957203994294,0.8943881520778072
3,0+1+2,6,0.022589132287744333,0.9940402794903411,0.9941213209855209,0.9994979919678716,0.9995237852271375,0.1267487466449553,0.9386590584878745,0.9355441265759492
3,0+1+2,7,0.030546901212447082,0.9913686806411838,0.9913024454842482,0.9994979919678716,0.9995237852271375,0.3219287393486111,0.8701854493580599,0.8582962477044959
3,0+1+2,8,0.01645269117364411,0.9971228935470613,0.9971724822390895,1.0,1.0,0.37652367625877753,0.9029957203994294,0.8970294662632663
3,0+1+2,9,0.007449453062712044,0.9989724619810934,0.9989911173921475,0.9893641354709661,0.9895214663351153,0.6926894207277764,0.884450784593438,0.8756013837453309
3,0+1+2,10,0.03507220930815282,0.989724619810933,0.9899083240777639,0.9740858795903007,0.9734693742425803,0.5583781854009634,0.8373751783166904,0.8238758273878857
